address,postcode,city,price,type,rooms,size_1,size_2
"Egil Fischers Vej 14, Femmøller Strand, 8400 Ebeltoft",8400,Ebeltoft,5500000,Fritidsbolig,4,177,114.0
"Nørre Knoldevej 27, Skal Klit, 9800 Hjørring",9800,Hjørring,5400000,Fritidsbolig,8,150,
"Sellerup Strandvej 79, Sellerup, 7080 Børkop",7080,Børkop,5495000,Fritidsbolig,4,144,
"Vandflodvej 25, 6857 Blåvand",6857,Blåvand,3395000,Fritidsbolig,5,178,
"Grindevej 14, Ulstrup, 9480 Løkken",9480,Løkken,1998000,Fritidsbolig,5,128,
"Vibsevej 61F, Vesterhave, 4736 Karrebæksminde",4736,Karrebæksminde,1095000,Fritidsbolig,2,44,
"Over Bækken 23, 9370 Hals",9370,Hals,615000,Fritidsbolig,3,54,
"Drejet 36D, Spodsbj Drej, 5900 Rudkøbing",5900,Rudkøbing,1845000,Fritidsbolig,4,83,
"Langdalsvej 42, Vråby, 6792 Rømø",6792,Rømø,2845000,Fritidsbolig,4,106,
"Svanevej 73, Hjarbæk, 8831 Løgstrup",8831,Løgstrup,1995000,Fritidsbolig,4,116,6.0
"Lilletoften 4, Over Draaby Strand, 3630 Jægerspris",3630,Jægerspris,695000,Fritidsbolig,6,122,
"Dyrholmen 119, Strand Esbønderup, 3250 Gilleleje",3250,Gilleleje,1795000,Fritidsbolig,3,75,
"Høgevej 130, Ebdrup, 8560 Kolind",8560,Kolind,637000,Fritidsbolig,3,50,
"Engbo 7, Kirkholm, 7130 Juelsminde",7130,Juelsminde,1995000,Fritidsbolig,4,78,
"Lærkestien 11, Næsby, 4305 Orø",4305,Orø,2550000,Fritidsbolig,5,94,
"Solskrænten 18, Mommark, 6470 Sydals",6470,Sydals,1245000,Fritidsbolig,3,61,
"Fiskervej 58, Mommark, 6470 Sydals",6470,Sydals,2399000,Fritidsbolig,5,123,
"Kringelbækvej 17, 9480 Løkken",9480,Løkken,2495000,Fritidsbolig,5,125,
"Søgårdsvej 42, 6823 Ansager",6823,Ansager,795000,Fritidsbolig,3,68,
"Illeris 37, Hvalpsund, 9640 Farsø",9640,Farsø,775000,Fritidsbolig,4,89,
"Marielyst Strandpark 46, 4873 Væggerløse",4873,Væggerløse,1995000,Fritidsbolig,5,115,
"Mælkebøttevej 8, 4873 Væggerløse",4873,Væggerløse,1395000,Fritidsbolig,3,66,
"Kragemarken 25, Tornby, 9850 Hirtshals",9850,Hirtshals,1795000,Fritidsbolig,4,76,
"Elisesvej 58, Trend, 9670 Løgstør",9670,Løgstør,595000,Fritidsbolig,4,50,
"Falkevej 12, 4872 Idestrup",4872,Idestrup,795000,Fritidsbolig,2,27,
"Engvænget 3, Lammefjorden, 4571 Grevinge",4571,Grevinge,795000,Fritidsbolig,2,50,
"Klintestien 29, Roneklint St, 4720 Præstø",4720,Præstø,1350000,Fritidsbolig,2,55,
"Bro Skov 8, Bro Skov, 5464 Brenderup Fyn",5464,Brenderup Fyn,898000,Fritidsbolig,4,98,
"Løjt Feriecenter 1 119, 6200 Aabenraa",6200,Aabenraa,695000,Fritidsbolig,3,60,
