full_address,postal_code,city,price,type,rooms,sq_m,sq_m_cellar
"Ballesvej 5, Sillerslev, 7990 Øster Assels",7990,Øster Assels,1995000,Fritidsbolig,4,97,
"Drejet 36D, Spodsbj Drej, 5900 Rudkøbing",5900,Rudkøbing,1845000,Fritidsbolig,4,83,
"Engdraget 5, Hou, 9370 Hals",9370,Hals,1040000,Fritidsbolig,3,93,76.0
"Hjelmvej 13, Elsegårde Strand",,Elsegårde Strand,1298000,Fritidsbolig,3,40,
"Baroniet 22, 3100 Hornbæk",3100,Hornbæk,4195000,Fritidsbolig,4,99,
"Slunden 56, Rindby Strand, 6720 Fanø",6720,Fanø,2495000,Fritidsbolig,5,92,
"Birkevangsvej 18, 3100 Hornbæk",3100,Hornbæk,6995000,Fritidsbolig,3,88,
"Kybehuse 81, Vile, 7870 Roslev",7870,Roslev,735000,Fritidsbolig,4,58,
"Storhøjs Alle 7, Strand Esbønderup, 3250 Gilleleje",3250,Gilleleje,2795000,Fritidsbolig,3,98,
"Sigfred Jensens Vej 37, Bjerregaard, 6960 Hvide Sande",6960,Hvide Sande,1525000,Fritidsbolig,4,79,
"Arningevej 8, 4983 Dannemare",4983,Dannemare,475000,Fritidsbolig,5,185,
"Strandvejen 61C, st. 113., Fanø Bad",,Fanø Bad,1245000,Fritidsbolig,2,44,
"Sandvej 4C, Fjellerup Strand, 8585 Glesborg",8585,Glesborg,2498000,Fritidsbolig,4,106,
"Arnakkevej 20, 4593 Eskebjerg",4593,Eskebjerg,1295000,Villa,6,163,
"Bredmaj 90, Rendbjerg, 6320 Egernsund",6320,Egernsund,995000,Fritidsbolig,4,60,
"Bøffelvej 2, Bunken, 9982 Ålbæk",9982,Ålbæk,995000,Fritidsbolig,4,70,
"Hyldebærvej 47, Knasborg, 9982 Ålbæk",9982,Ålbæk,3295000,Fritidsbolig,6,211,
"Svanningevej 11, 5600 Faaborg",5600,Faaborg,695000,Villa,3,102,
"Blåbærvej 38, Hostrup, 7860 Spøttrup",7860,Spøttrup,1145000,Fritidsbolig,3,95,38.0
"Nonboevej 5A, Fanø Bad, 6720 Fanø",6720,Fanø,2198000,Fritidsbolig,5,100,
"Strandvejen 52, 1. 114, Fanø Bad, 6720 Fanø",6720,Fanø,795000,Fritidsbolig,2,68,
"Lindeparken 38, 9370 Hals",9370,Hals,2140000,Fritidsbolig,3,112,
"Vænget 4, 7130 Juelsminde",7130,Juelsminde,7875000,Fritidsbolig,6,151,
"Kirkeskovvej 19, Tåstrup, 4672 Klippinge",4672,Klippinge,1395000,Fritidsbolig,5,185,
"Thurøvej 44, Horne, 5600 Faaborg",5600,Faaborg,1895000,Fritidsbolig,3,69,
"Rosendalen 36, 4500 Nykøbing Sj",4500,Nykøbing Sj,995000,Fritidsbolig,3,48,
"Dilshøj 4, Håstrup, 5600 Faaborg",5600,Faaborg,1795000,Villa,4,176,
"Mågedalen 85, Houvig, 6950 Ringkøbing",6950,Ringkøbing,4495000,Fritidsbolig,5,160,
"Fasanstien 146A, 4970 Rødby",4970,Rødby,785000,Fritidsbolig,2,54,
"Hf. Maglebylund 347, 2791 Dragør",2791,Dragør,1995000,Fritidsbolig,3,45,
"Violvej 2, Abildøre, 4560 Vig",4560,Vig,2550000,Fritidsbolig,4,80,
"Fasanstien 8, Ølsted Nordstrand, 3310 Ølsted",3310,Ølsted,1795000,Fritidsbolig,6,142,
"Fjordstien 69, Søndervig, 6950 Ringkøbing",6950,Ringkøbing,1695000,Fritidsbolig,3,48,
"Lærkevejen 4, 4874 Gedser",4874,Gedser,1675000,Fritidsbolig,4,82,
"Østergade 10, 3250 Gilleleje",3250,Gilleleje,4465000,Fritidsbolig,3,56,
"Jættevej 6, 2740 Skovlunde",2740,Skovlunde,750000,Fritidsbolig,2,49,
"Froidal 22, Toftum, 6792 Rømø",6792,Rømø,1698000,Fritidsbolig,5,138,
"Musvågevej 54, Lodskovvad, 9982 Ålbæk",9982,Ålbæk,1795000,Fritidsbolig,4,94,
"Svalevej 5, Nordenhuse, 5800 Nyborg",5800,Nyborg,1875000,Fritidsbolig,3,62,
"Kystvejen 38, Hou, 9370 Hals",9370,Hals,1280000,Fritidsbolig,4,101,
"Skippervej 14, 6857 Blåvand",6857,Blåvand,3295000,Fritidsbolig,3,48,
"Sankt Helene Vej 10F, 3220 Tisvildeleje",3220,Tisvildeleje,4375000,Fritidsbolig,4,161,
"Fløden 8, Fjellerup Strand, 8585 Glesborg",8585,Glesborg,1998000,Fritidsbolig,5,120,
"Vandborgvej 63, Dybe",,Dybe,645000,Fritidsbolig,3,120,
"Fyrvej 24, 6857 Blåvand",6857,Blåvand,2998000,Fritidsbolig,4,89,
"Strandgården 77, 9300 Sæby",9300,Sæby,4495000,Fritidsbolig,4,102,
"Orionvej 9, 3100 Hornbæk",3100,Hornbæk,5995000,Fritidsbolig,4,100,
"Lyngstien 17, Hou, 9370 Hals",9370,Hals,2695000,Fritidsbolig,4,117,
"Helmklit 273, Nr Fjand, 6990 Ulfborg",6990,Ulfborg,1425000,Fritidsbolig,5,142,
"Strandlystvej 10, 3100 Hornbæk",3100,Hornbæk,6785000,Fritidsbolig,3,90,
"Skåstrup Strand Øst 53, Skåstrup Str, 5400 Bogense",5400,Bogense,1125000,Fritidsbolig,3,67,
"Bjørnsknudevej 44B, 7130 Juelsminde",7130,Juelsminde,4495000,Fritidsbolig,4,101,
"Alstrupvej 22, Alstrup, 4840 Nørre Alslev",4840,Nørre Alslev,395000,Villa,5,99,
"Østersvej 5, Lyngså, 9300 Sæby",9300,Sæby,295000,Fritidsbolig,3,40,
"Karl Frandsens Vej 8, Kulhuse, 3630 Jægerspris",3630,Jægerspris,1075000,Fritidsbolig,2,47,
"Havstien 142, Søndervig, 6950 Ringkøbing",6950,Ringkøbing,2245000,Fritidsbolig,4,70,
"Nordre Strandvej 375, 3100 Hornbæk",3100,Hornbæk,6675000,Fritidsbolig,6,163,91.0
"Hårkjærvej 7E, Hoven, 6880 Tarm",6880,Tarm,595000,Fritidsbolig,3,50,
"Julianehåb 11, Kongsmark, 6792 Rømø",6792,Rømø,1990000,Fritidsbolig,4,107,
"Torpvej 17, Fanø Bad, 6720 Fanø",6720,Fanø,2400000,Fritidsbolig,5,80,
"Sandgravs-Åsen 8, Bakkebjerg, 3230 Græsted",3230,Græsted,2495000,Fritidsbolig,3,91,
"Tjørnestien 2, Havnsø Str, 4591 Føllenslev",4591,Føllenslev,1175000,Fritidsbolig,4,77,
"Engparken 22, 5871 Frørup",5871,Frørup,1475000,Fritidsbolig,3,69,
"Hvedemarken 25, Grønninghoved, 6093 Sjølund",6093,Sjølund,3295000,Fritidsbolig,4,101,
"Golfsvinget 288, Gatten, 9640 Farsø",9640,Farsø,1395000,Fritidsbolig,3,72,
"Sivsangervej 47, Langesø, 3080 Tikøb",3080,Tikøb,2350000,Fritidsbolig,4,89,
"Strandhusvej 23, Udbyhøj, 8950 Ørsted",8950,Ørsted,795000,Fritidsbolig,3,60,
"Sandlodsvej 33A, 4581 Rørvig",4581,Rørvig,4695000,Fritidsbolig,4,72,
"Østre Strandvej 73, Hasmark Strand, 5450 Otterup",5450,Otterup,1645000,Fritidsbolig,3,57,
"Glentebakken 9, Hjarbæk",,Hjarbæk,1695000,Fritidsbolig,4,70,
"Arcticvej 8, Vrist, 7673 Harboøre",7673,Harboøre,2995000,Fritidsbolig,7,199,
"Torndalstrand 45, 9370 Hals",9370,Hals,1350000,Fritidsbolig,4,74,
"Sandtornvej 26, Vorupør, 7700 Thisted",7700,Thisted,1295000,Fritidsbolig,3,58,
"Sandageren 9, 6857 Blåvand",6857,Blåvand,2595000,Fritidsbolig,5,138,
"Tangvej 28, Store Sjørup",,Store Sjørup,1245000,Fritidsbolig,5,138,
"Svinget 44, Albæk, 8930 Randers NØ",8930,Randers NØ,1795000,Fritidsbolig,1,39,
Kongevejen 187,,,1280000,Fritidsbolig,6,119,
"Kollemarken 73, 6857 Blåvand",6857,Blåvand,11800000,Fritidsbolig,6,250,
"Hans Hansensvej 20, Lønne, 6830 Nørre Nebel",6830,Nørre Nebel,1395000,Fritidsbolig,5,88,
"Kattesundet 7, 4900 Nakskov",4900,Nakskov,435000,Rækkehus,4,70,
"Hovedgaden 34, 4913 Horslunde",4913,Horslunde,1095000,Villa,5,197,
"Golfsvinget 36, Gatten, 9640 Farsø",9640,Farsø,1595000,Fritidsbolig,3,90,
"Ulstrupvej 42, Ulstrup, 4281 Gørlev",4281,Gørlev,1395000,Villa,4,145,
"Nørgårds Strand 35, Sønderby, 7130 Juelsminde",7130,Juelsminde,2495000,Fritidsbolig,4,72,
"Kræ Degns Vej 4, Klegod, 6950 Ringkøbing",6950,Ringkøbing,2248000,Fritidsbolig,4,113,
"Bøgealle 12, Lodbj Hede, 6950 Ringkøbing",6950,Ringkøbing,1595000,Fritidsbolig,4,79,
"Bakkesiden 14, Doverodde",,Doverodde,1175000,Fritidsbolig,4,86,
"Tingodden 200, Aargab, 6960 Hvide Sande",6960,Hvide Sande,2145000,Fritidsbolig,5,94,
"Pilevænget 15, Øer, 8400 Ebeltoft",8400,Ebeltoft,1675000,Fritidsbolig,4,78,
"Rastestedet 34, Dejret Strand",,Dejret Strand,1495000,Fritidsbolig,3,84,
"Hyldestien 182, 7190 Billund",7190,Billund,1995000,Fritidsbolig,6,112,
"Blåbærvej 26, Napstjert, 9981 Jerup",9981,Jerup,1295000,Fritidsbolig,3,71,
"Vænget 1, 3120 Dronningmølle",3120,Dronningmølle,3995000,Fritidsbolig,4,119,
